,event,time_scal
2759,6,0.0832013888888889
2760,17,0.08322337962962963
38570,22,0.08322453703703704
38571,23,0.0835
38572,22,0.08363194444444444
2761,21,0.08492708333333333
2762,20,0.08619444444444445
38573,23,0.0862037037037037
38574,22,0.08621412037037036
38575,23,0.08644907407407408
38576,22,0.08646412037037036
2763,0,0.08701967592592592
2764,1,0.0870787037037037
2765,0,0.08765625
2766,1,0.08773726851851851
2767,0,0.08825925925925926
2768,1,0.08832638888888888
2769,0,0.08850694444444444
2770,5,0.08851388888888889
2771,1,0.08860416666666666
2772,4,0.08867824074074074
2773,5,0.08871180555555555
38577,23,0.08885532407407408
38578,22,0.0888576388888889
38579,23,0.08931944444444445
38580,22,0.08932175925925925
2774,16,0.08932291666666667
38581,23,0.08939236111111111
38582,22,0.08957291666666667
38583,23,0.08959953703703703
38584,22,0.0896087962962963
38585,23,0.08963310185185185
38586,22,0.08964120370370371
38587,23,0.08968171296296296
38588,22,0.08970138888888889
38589,23,0.08973611111111111
2775,0,0.08974537037037036
38590,22,0.08977546296296296
2776,1,0.0898136574074074
2777,0,0.08984375
2778,1,0.08992592592592592
2779,0,0.0900138888888889
38591,23,0.09004976851851852
2780,1,0.09007638888888889
38592,22,0.0900775462962963
2781,4,0.09014120370370371
38593,23,0.09014699074074074
38594,22,0.09023263888888888
38595,23,0.09044560185185185
38596,22,0.09046064814814815
38597,23,0.0905949074074074
2782,5,0.09061458333333333
2783,17,0.09062037037037037
38598,22,0.09062268518518518
2784,4,0.09245254629629629
2785,21,0.09247337962962963
2786,0,0.09266203703703704
2787,1,0.09274305555555555
2788,0,0.09281828703703704
2789,1,0.09287847222222222
2790,0,0.09300115740740741
2791,1,0.09306018518518519
2792,0,0.09336226851851852
2793,1,0.0934849537037037
2794,0,0.09365162037037036
2795,1,0.09372337962962964
2796,0,0.09381828703703704
2797,1,0.09387731481481482
2798,0,0.0939537037037037
2799,1,0.09401388888888888
2800,0,0.09419444444444444
2801,1,0.09425347222222222
2802,0,0.09435763888888889
2803,1,0.09442476851851851
2804,0,0.09449652777777778
2805,1,0.09456597222222222
2806,0,0.09477546296296296
2807,1,0.09484259259259259
2808,0,0.09493865740740741
2809,1,0.09500694444444445
2810,0,0.09519097222222223
2811,1,0.09525810185185185
2812,0,0.09541087962962963
2813,1,0.0954699074074074
2814,0,0.0958449074074074
2815,1,0.0959050925925926
2816,0,0.09615856481481481
2817,1,0.09621643518518519
2818,0,0.09639236111111112
2819,1,0.09665856481481482
2820,0,0.09666087962962963
2821,1,0.09673032407407407
2822,0,0.09691898148148148
2823,1,0.09719097222222223
2824,0,0.09719328703703704
2825,1,0.09729513888888888
2826,0,0.09765046296296297
2827,1,0.09776736111111112
2828,0,0.0981400462962963
2829,1,0.09820717592592593
2830,0,0.09858449074074074
2831,1,0.09865972222222222
2832,0,0.0988275462962963
2833,1,0.09889699074074074
2834,0,0.09910069444444444
2835,1,0.09915856481481482
2836,0,0.09916087962962963
2837,1,0.09923842592592592
2838,0,0.0992650462962963
2839,1,0.09936805555555556
2840,0,0.0995173611111111
2841,1,0.09958796296296296
2842,0,0.09959027777777778
2843,1,0.09965972222222222
2844,0,0.09972685185185186
2845,1,0.09979050925925925
2846,0,0.09988541666666667
2847,1,0.09998611111111111
2848,0,0.09999537037037037
2849,1,0.00014699074074074075
2850,0,0.00016087962962962963
2851,1,0.0002511574074074074
2852,0,0.0003171296296296296
2853,1,0.00041319444444444444
2854,20,0.0018981481481481482
2855,21,0.001954861111111111
2856,5,0.0028263888888888887
2857,0,0.0030601851851851853
2858,1,0.003119212962962963
2859,0,0.0036631944444444446
2860,1,0.0037222222222222223
2861,0,0.0037291666666666667
2862,1,0.003792824074074074
2863,20,0.0038055555555555555
2864,0,0.009465277777777777
2865,1,0.009532407407407408
2866,0,0.011137731481481481
2867,1,0.011230324074074075
2868,0,0.02217824074074074
2869,1,0.022239583333333333
2870,16,0.027395833333333335
2871,17,0.02739699074074074
2872,16,0.027421296296296298
2873,17,0.027422453703703702
2874,16,0.02744212962962963
2875,17,0.027445601851851853
2876,16,0.027469907407407408
2877,17,0.02747222222222222
2878,16,0.02748263888888889
2879,17,0.027489583333333335
2880,16,0.027497685185185184
2881,17,0.027515046296296298
2882,16,0.027516203703703702
2883,17,0.027538194444444445
2884,16,0.027539351851851853
2885,17,0.027540509259259258
2886,16,0.027542824074074074
2887,17,0.027543981481481482
2888,16,0.02754513888888889
38599,23,0.03431365740740741
38600,22,0.03438541666666667
2889,9,0.03444097222222222
38601,23,0.034449074074074076
2890,8,0.034462962962962966
2891,9,0.03446875
2892,8,0.03447337962962963
2893,9,0.03447685185185185
2894,8,0.03449074074074074
2895,9,0.03449421296296296
2896,8,0.034498842592592595
2897,9,0.0345
2898,8,0.03450462962962963
2899,9,0.03450810185185185
2900,7,0.034511574074074076
2901,6,0.03451851851851852
2902,8,0.034519675925925926
2903,9,0.03452314814814815
2904,8,0.03452430555555556
38602,22,0.034527777777777775
2905,9,0.03453935185185185
2906,8,0.03454398148148148
2907,9,0.03454976851851852
2908,8,0.03455439814814815
38603,23,0.03455787037037037
38604,22,0.03465393518518518
2909,9,0.03467013888888889
